,0
0,0.24
1,0.3575
2,0.4
3,0.44
4,0.44
5,0.4325
6,0.4375
7,0.45
8,0.4525
9,0.45
10,0.4525
11,0.4575
12,0.4475
13,0.46
14,0.4825
15,0.45
16,0.4775
17,0.4675
18,0.485
19,0.4925
20,0.48
21,0.4775
22,0.495
23,0.4725
24,0.4875
25,0.49
26,0.48
27,0.4925
28,0.4825
29,0.4875
30,0.4775
31,0.5
32,0.4975
33,0.5
34,0.51
35,0.4975
36,0.4875
37,0.495
38,0.495
39,0.4975
40,0.4925
41,0.49
42,0.475
43,0.5
44,0.4975
45,0.4975
46,0.49
47,0.49
48,0.51
49,0.4975
50,0.4925
51,0.48
52,0.4825
53,0.48
54,0.4825
55,0.48
56,0.4925
57,0.4875
58,0.4775
59,0.4775
60,0.475
61,0.4775
62,0.485
63,0.4875
64,0.48
65,0.4875
66,0.475
67,0.48
68,0.4875
69,0.4925
70,0.4875
71,0.4875
72,0.49
73,0.4825
74,0.48
75,0.48
76,0.4925
77,0.4875
78,0.495
79,0.48
80,0.49
81,0.4875
82,0.49
83,0.49
84,0.4875
85,0.475
86,0.48
87,0.485
88,0.4825
89,0.485
90,0.485
91,0.48
92,0.4825
93,0.4775
94,0.4875
95,0.4925
96,0.4925
97,0.4875
98,0.49
99,0.485
100,0.4925
101,0.4825
102,0.4925
103,0.49
104,0.4975
105,0.5075
106,0.505
107,0.4925
108,0.4925
109,0.4875
110,0.4875
111,0.4975
112,0.4975
113,0.4925
114,0.4925
115,0.495
116,0.505
117,0.495
118,0.4875
119,0.49
120,0.4875
121,0.48
122,0.4975
123,0.4875
124,0.495
125,0.4975
126,0.4925
127,0.4925
128,0.5
129,0.49
130,0.495
131,0.4925
132,0.4775
133,0.4825
134,0.48
135,0.4875
136,0.4725
137,0.4825
138,0.4775
139,0.49
140,0.5
141,0.4925
142,0.49
143,0.495
144,0.4825
145,0.49
146,0.4875
147,0.49
148,0.4775
149,0.4875
150,0.4675
151,0.4825
152,0.48
153,0.4825
154,0.4875
155,0.4925
156,0.5025
157,0.4775
158,0.495
159,0.4875
160,0.51
161,0.4975
162,0.4975
163,0.4875
164,0.49
165,0.4825
166,0.4925
167,0.5
168,0.4925
169,0.4775
170,0.4875
171,0.495
172,0.4825
173,0.4825
174,0.4725
175,0.49
176,0.48
177,0.4825
178,0.4725
179,0.4825
180,0.4775
181,0.4825
182,0.4775
183,0.4875
184,0.4775
185,0.4925
186,0.49
187,0.4875
188,0.4875
189,0.4825
190,0.485
191,0.48
192,0.4925
193,0.4875
194,0.4875
195,0.4925
196,0.495
197,0.49
198,0.4975
199,0.485
